1,2,3,4,5,6,7,8,9,y
1,-2.9641,4.1863,-4.0109,2.9162,-1.7821,1.0574,-0.46254,0.085028,one
1,-2.2415,3.512,-4.2313,3.9898,-3.3434,2.3304,-1.1456,0.41328,one
1,-2.0563,1.2359,-0.30216,0.67386,-0.99255,0.78405,-0.46058,0.14143,one
1,-3.7247,6.5298,-7.6451,6.8806,-4.7211,2.4085,-0.94963,0.23892,one
1,-3.1479,4.3353,-3.8257,3.125,-3.0395,3.0125,-2.0921,0.66459,one
1,-3.0945,4.4853,-4.5532,4.2372,-3.8958,3.2014,-1.8653,0.51908,one
1,-3.1159,4.8153,-5.6952,5.8753,-5.1381,3.9471,-2.369,0.71655,one
1,-3.5314,6.1249,-7.4964,7.2351,-5.376,3.155,-1.5,0.41604,one
1,-2.5878,2.8688,-2.1514,1.5487,-1.196,0.73821,-0.11878,-0.070724,one
1,-2.7156,3.087,-2.0109,0.92042,-0.74048,1.016,-0.69266,0.16608,one
1,-2.4484,1.9748,-0.31818,-0.47962,0.012821,1.1336,-1.3216,0.46831,one
1,-2.6323,2.2389,-0.21137,-0.69241,-0.2328,1.7352,-1.8326,0.64525,one
1,-2.3239,1.8106,-0.58981,0.082066,-0.14835,0.91266,-1.1466,0.42664,one
1,-2.141,1.2,0.042425,-0.066269,-0.18777,0.77895,-0.98791,0.381,one
1,-2.3974,1.8677,-0.48392,0.12356,-0.61985,1.4373,-1.3577,0.4462,one
1,-2.2924,2.113,-1.5201,1.3009,-0.77598,0.30059,-0.12271,0.031125,one
1,-3.0052,4.6165,-5.6267,5.79,-4.708,3.2088,-1.6835,0.43843,one
1,-4.1017,8.7399,-12.8246,13.9048,-11.2242,6.7183,-2.7723,0.59108,one
1,-3.0905,4.811,-5.2767,4.4161,-2.8988,1.7191,-0.88397,0.24114,one
1,-1.8659,1.1145,-0.52474,0.69242,-0.72629,0.72891,-0.49026,0.13065,one
1,-1.6101,0.99438,-0.865,0.66578,-0.53071,1.0264,-0.64012,0.041615,one
1,-1.3318,-0.084952,-0.0786,0.73753,0.24533,-0.52831,-0.015432,0.083793,one
1,-1.978,1.7434,-1.4763,0.92793,-0.48797,0.89906,-0.7394,0.15879,one
1,-2.6783,3.382,-3.6829,3.7973,-3.2968,2.6997,-1.6392,0.43189,one
1,-3.1446,4.4916,-4.2296,2.9344,-1.7049,1.2348,-0.78288,0.20803,one
1,-4.3879,9.4636,-13.3203,13.3,-9.4401,4.6121,-1.4369,0.22608,one
1,-2.1386,2.2654,-2.0503,1.8391,-1.6279,1.4812,-0.82787,0.16797,one
1,-2.349,2.7187,-2.3645,2.0049,-1.8885,1.8475,-1.1683,0.31994,one
1,-3.6575,6.3967,-7.0036,5.1614,-2.3108,0.30149,0.21683,-0.074188,one
