1,2,3,4,5,6,7,y
1,-2.9279,3.9982,-3.4738,1.9511,-0.60373,0.085756,one
1,-1.9911,2.7583,-2.8923,2.0583,-1.1938,0.53348,one
1,-1.9837,1.0104,-0.064766,0.57915,-0.79419,0.27809,one
1,-3.6673,6.1451,-6.5864,5.1366,-2.6806,0.66751,one
1,-3.1477,4.1789,-3.2337,1.8768,-0.88955,0.23462,one
1,-2.8442,3.5699,-2.8314,1.7854,-0.83174,0.18683,one
1,-2.8531,3.7712,-3.45,2.4559,-1.116,0.22121,one
1,-3.4934,5.7258,-6.179,4.8792,-2.5164,0.60367,one
1,-2.5576,2.7805,-1.9182,1.0848,-0.51157,0.17006,one
1,-2.7133,3.0879,-1.8602,0.32704,0.34934,-0.1567,one
1,-2.4043,1.9963,-0.51427,-0.44188,0.65461,-0.27136,one
1,-2.5017,1.9846,-0.21277,-0.46977,0.29104,-0.077285,one
1,-2.2929,1.8271,-0.65639,-0.06697,0.47282,-0.26349,one
1,-2.0725,1.0512,0.12888,-0.022024,-0.02682,-0.041089,one
1,-2.2578,1.5504,-0.26205,-0.0087985,0.053168,-0.057857,one
1,-2.2848,2.0737,-1.4363,1.1878,-0.62277,0.11759,one
1,-2.6953,3.4181,-3.2549,2.5509,-1.2261,0.24592,one
1,-3.5147,6.0706,-6.78,5.1147,-2.3552,0.50701,one
1,-3.0333,4.5114,-4.4324,2.9052,-1.0622,0.14671,one
1,-1.7973,0.92748,-0.30278,0.53649,-0.43658,0.14273,one
1,-1.521,0.99762,-0.71214,0.23033,0.077177,0.11352,one
1,-1.3013,-0.066161,-0.16733,0.69672,0.26011,-0.39885,one
1,-2.0135,1.8879,-1.3409,0.21573,0.56364,-0.24021,one
1,-2.3429,2.2835,-1.8577,1.5501,-0.74308,0.13351,one
1,-3.1311,4.3897,-3.7921,1.919,-0.27187,-0.10717,one
1,-3.9224,7.3036,-8.5913,6.8194,-3.3504,0.76665,one
1,-1.9694,1.8741,-1.3931,0.90281,-0.41697,0.18293,one
1,-2.1604,2.2752,-1.6009,0.77565,-0.20469,0.086124,one
1,-3.6297,6.3176,-6.93,5.1951,-2.4998,0.58141,one
1,-1.8588,1.3617,-0.73934,0.18137,0.073692,0.057097,one
1,-2.3903,2.6406,-2.0214,0.7889,0.2706,-0.24767,one
1,-1.2395,-0.10586,0.3078,0.21162,-0.25025,0.14872,one
1,-1.2494,0.086938,0.21655,0.080288,-0.23043,0.22018,one
1,-1.433,0.64893,-0.38817,0.43919,-0.37648,0.23319,one
1,-1.664,1.0713,-0.557,0.26951,-0.2318,0.20403,one
1,-2.5279,3.0175,-2.4463,1.406,-0.43803,0.030137,one
1,-3.2448,5.3763,-5.8957,4.3094,-1.9496,0.44184,one
1,-1.7795,0.75215,0.16028,0.54185,-1.0833,0.53373,one
1,-2.2893,2.4126,-1.8997,1.2818,-0.52799,0.095101,one
1,-2.9624,4.3235,-4.3852,3.1841,-1.3564,0.2181,one
1,-3.0873,3.6019,-1.7342,-0.037025,0.42588,-0.16062,one
1,-1.9342,1.6952,-0.9097,0.24001,0.016508,-0.0033374,one
1,-1.685,1.1631,-0.76885,0.56453,-0.34431,0.15701,one
1,-1.6476,1.1405,-0.78459,0.60319,-0.4232,0.18945,one
1,-1.5291,0.71914,-0.32664,0.43586,-0.47549,0.18336,one
1,-1.6627,1.3366,-0.84374,0.26272,-0.14628,0.069747,one
1,-2.6151,2.2786,-0.79396,0.47762,-0.52756,0.18773,one
1,-2.8535,2.9727,-1.4756,0.72495,-0.56638,0.20801,one
1,-2.9726,3.3859,-1.9166,0.69587,-0.24723,0.060468,one
1,-1.4976,0.79962,-0.3364,-0.11814,0.1053,0.15497,one
1,-2.0902,2.1823,-1.6159,0.77268,-0.25115,0.1182,one
1,-2.5263,2.6617,-2.3496,2.4355,-1.6048,0.40167,one
1,-2.7898,3.5729,-2.7743,1.3009,-0.25143,-0.013518,one
1,-1.8919,1.158,0.094557,-0.74016,0.78492,-0.3333,one
1,-3.013,3.9709,-3.4774,2.471,-1.1562,0.21881,one
1,-3.057,3.9385,-3.2501,2.2429,-1.0957,0.22829,one
1,-2.6515,2.7704,-2.2848,2.7255,-2.2872,0.74859,one
1,-2.509,2.5282,-1.4154,0.31428,0.33962,-0.23202,one
1,-2.1722,1.8055,-0.92406,0.40118,-0.052101,-0.0057166,one
1,-1.6961,1.3368,-0.88553,0.25662,0.1097,0.043631,one
1,-1.9318,1.5002,-0.74261,0.026515,0.46147,-0.21519,one
1,-2.0263,1.8417,-1.3391,0.72277,-0.044232,-0.05133,one
1,-2.9686,3.9317,-3.149,1.7534,-0.69085,0.1586,one
1,-2.0709,1.5383,-1.1765,1.2067,-0.416,-0.073982,one
1,-2.0021,1.2263,-0.73758,1.1277,-0.64538,0.03651,one
1,-2.0453,1.6644,-0.5583,0.031123,0.06665,-0.017244,one
1,-2.2249,2.0131,-1.0649,0.45678,-0.1321,0.038477,one
1,-2.0605,1.8868,-0.87286,-0.23418,0.39007,-0.01717,one
1,-2.3642,2.4044,-1.654,0.7919,-0.08134,-0.044133,one
1,-1.717,0.52662,0.25367,-0.009365,-0.066301,0.032701,one
1,-2.4442,2.4902,-2.0069,1.9015,-1.2796,0.36776,one
1,-2.5409,2.8536,-2.2848,1.6913,-0.96658,0.28176,one
1,-2.3789,2.478,-2.0431,1.5765,-0.75204,0.15024,one
1,-2.7934,3.4393,-2.8887,2.0966,-1.127,0.29573,one
1,-1.9786,1.9777,-1.863,1.8073,-1.2495,0.48126,one
1,-2.0338,2.3064,-2.4502,2.243,-1.4099,0.5206,one
1,-2.4124,2.9438,-2.9698,2.6031,-1.4812,0.41611,one
1,-2.0608,2.2495,-2.3341,2.1548,-1.3636,0.491,one
1,-2.3148,2.7252,-2.736,2.4257,-1.3923,0.40334,one
1,-1.9954,1.938,-1.9037,1.9791,-1.3854,0.49387,one
1,-2.8197,4.3777,-4.5807,3.2057,-1.5714,0.44501,one
1,-1.8969,1.0069,-0.018493,-0.35923,0.56617,-0.25081,one
1,-2.4176,2.4455,-1.285,-0.14607,0.73444,-0.29587,one
1,-2.6335,3.6666,-3.5481,2.4501,-1.0426,0.2095,one
1,-2.3851,3.5625,-3.8883,3.1367,-1.738,0.60845,one
1,-2.5846,3.1558,-2.8991,2.0671,-0.90239,0.19553,one
1,-2.8676,3.5407,-2.5125,0.91015,0.15105,-0.2019,one
1,-2.3572,2.5257,-2.3308,2.1848,-1.3264,0.35414,one
1,-1.3161,-0.53901,0.68916,0.73832,-0.51125,-0.029278,one
1,-1.3096,-0.64333,0.82198,0.81412,-0.72681,0.072058,one
1,-1.479,0.80977,-0.5354,0.33335,-0.5465,0.45348,one
1,-2.2737,2.3193,-1.5457,0.92124,-0.42844,0.13886,one
1,-3.3037,5.3361,-5.7269,4.1775,-1.8416,0.38414,one
1,-2.7237,2.7133,-1.4538,0.97913,-0.69345,0.18578,one
1,-2.5232,2.9561,-2.5121,2.0282,-1.2394,0.35792,one
1,-0.67439,-0.1647,-0.5048,0.64108,-0.12843,0.16591,one
1,-2.7191,2.9353,-1.6518,0.35946,0.28542,-0.19892,one
1,-2.2968,2.6472,-2.2185,1.1674,-0.33734,0.096817,one
