1,2,3,4,5,6,7,8,9,10,11,y
1,-2.9918,4.3061,-4.2917,3.3893,-2.4949,2.0948,-1.74,1.2772,-0.73883,0.21785,one
1,-2.274,3.5415,-4.2627,3.9321,-3.2002,2.1211,-0.81842,0.067777,0.27241,-0.17891,one
1,-2.0939,1.363,-0.51655,0.96227,-1.3056,0.99342,-0.67342,0.6453,-0.57942,0.23109,one
1,-3.7478,6.5979,-7.8509,7.3505,-5.3642,2.992,-1.2656,0.15396,0.27362,-0.12743,one
1,-3.3347,4.8209,-4.3607,3.5566,-3.5379,3.7592,-2.9188,1.0297,0.15751,-0.15446,one
1,-3.0732,4.6056,-5.1289,5.2915,-5.2025,4.6303,-3.4193,2.0932,-1.1201,0.3712,one
1,-3.4302,6.0288,-7.9974,9.0529,-8.8836,7.7682,-5.7595,3.1951,-1.2093,0.26586,one
1,-3.5914,6.3203,-7.886,7.893,-6.2271,3.9682,-2.0924,0.6663,0.022791,-0.052162,one
1,-2.6106,2.9491,-2.3673,1.9544,-1.7414,1.4374,-1.0451,0.97775,-0.76851,0.24815,one
1,-2.7941,3.385,-2.4897,1.3483,-1.1186,1.6706,-1.7961,1.3568,-0.70811,0.17304,one
1,-2.3787,1.9364,-0.57888,-0.12979,-0.039243,0.95434,-1.2145,0.8365,-0.67035,0.31547,one
1,-2.6698,2.4982,-0.74718,-0.2644,-0.25216,1.5806,-1.996,1.3124,-0.68005,0.23973,one
1,-2.4228,2.2772,-1.3759,0.60099,-0.23803,1.025,-1.6907,1.6678,-1.3283,0.51651,one
1,-2.15,1.3778,-0.37767,0.25543,-0.26378,0.75215,-0.98791,0.90275,-0.89209,0.41048,one
1,-2.3398,1.863,-0.8021,0.56347,-0.82217,1.4292,-1.3532,0.8838,-0.74534,0.3459,one
1,-2.2586,2.0408,-1.4663,1.2782,-0.86499,0.55578,-0.40766,0.49748,-0.65009,0.32536,one
1,-3.0071,4.6959,-5.9184,6.3401,-5.5106,4.1902,-2.6339,1.2154,-0.50262,0.16618,one
1,-4.4189,10.2678,-16.625,20.4112,-19.5294,14.723,-8.5835,3.628,-0.97501,0.12136,one
1,-3.0752,4.7746,-5.2404,4.3816,-2.8795,1.7741,-1.0286,0.4386,-0.176,0.072988,one
1,-1.8936,1.2201,-0.73504,0.95977,-0.99383,0.97624,-0.72873,0.58367,-0.60414,0.28683,one
1,-1.7887,1.5142,-1.6901,1.4533,-1.1197,1.7268,-1.5567,1.1816,-1.0834,0.43666,one
1,-1.4291,0.052527,0.040678,0.50321,0.10888,-0.27079,0.017406,0.35269,-0.69809,0.35147,one
1,-2.2515,2.562,-2.5492,1.7985,-1.3248,2.0974,-2.3591,1.9682,-1.2843,0.37462,one
1,-2.5809,3.1562,-3.5718,3.8462,-3.4142,2.9723,-1.9485,0.80706,-0.48933,0.24228,one
1,-3.1965,4.7286,-4.7212,3.5981,-2.594,2.5784,-2.5154,1.8626,-1.0229,0.29017,one
1,-4.3318,9.1247,-12.2782,11.2464,-6.6562,1.9479,0.34169,-0.50789,0.10793,0.026335,one
