1,2,3,4,5,y
1,-2.6572,3.1159,-2.0925,0.67609,one
1,-1.8031,2.0428,-1.5103,0.48864,one
1,-1.9612,0.97452,0.20551,-0.19238,one
1,-3.1607,3.9349,-2.2987,0.5399,one
1,-3.0362,3.6305,-2.0389,0.46325,one
1,-2.6855,2.891,-1.486,0.32312,one
1,-2.5281,2.6398,-1.4793,0.41624,one
1,-2.8378,3.2333,-1.7798,0.41885,one
1,-2.5101,2.56,-1.4374,0.4321,one
1,-2.677,3.0652,-1.9677,0.62324,one
1,-2.4039,2.0272,-0.71058,0.11345,one
1,-2.4868,2.002,-0.42735,-0.07389,one
1,-2.3133,1.8556,-0.62928,0.11884,one
1,-2.1012,1.0807,0.25562,-0.21448,one
1,-2.2697,1.5428,-0.15824,-0.095223,one
1,-2.18,1.7217,-0.66698,0.1744,one
1,-2.2738,2.1921,-1.2981,0.45709,one
1,-2.4912,2.9882,-2.1932,0.81944,one
1,-2.4823,2.8847,-2.0456,0.7268,one
1,-1.7545,0.84857,-0.10901,0.090047,one
1,-1.6879,1.2245,-0.94945,0.54581,one
1,-1.3021,0.18346,-0.22187,0.39621,one
1,-2.0683,2.2243,-1.9536,0.88576,one
1,-2.1396,1.7278,-0.88198,0.33049,one
1,-2.7499,3.2759,-2.2343,0.7274,one
1,-2.6731,3.2132,-2.1869,0.73338,one
1,-1.9313,1.7049,-1.0776,0.46605,one
1,-2.1486,2.198,-1.4328,0.54372,one
1,-2.9592,3.6744,-2.2202,0.55814,one
1,-1.9514,1.5318,-0.97577,0.45601,one
1,-2.2076,2.3804,-1.8718,0.7813,one
1,-1.2193,-0.12294,0.25967,0.15031,one
1,-1.2655,0.064601,0.17444,0.12366,one
1,-1.4117,0.56498,-0.28948,0.24124,one
1,-1.7145,1.1267,-0.58923,0.24583,one
1,-2.3482,2.4375,-1.4919,0.46581,one
1,-2.4125,2.8745,-2.2461,0.85639,one
1,-1.7025,0.69098,0.23355,-0.12162,one
1,-2.1365,1.9607,-1.1208,0.393,one
1,-2.3543,2.536,-1.7087,0.59727,one
1,-3.0748,3.5611,-1.8101,0.33487,one
1,-1.9368,1.7054,-0.92989,0.26514,one
1,-1.6511,1.0544,-0.57829,0.25653,one
1,-1.6008,1.0018,-0.54422,0.21713,one
1,-1.4893,0.63147,-0.14853,0.013886,one
1,-1.6569,1.3019,-0.74907,0.11985,one
1,-2.6097,2.2468,-0.58315,-0.047431,one
1,-2.8649,2.9866,-1.3064,0.19282,one
1,-2.9486,3.2486,-1.5873,0.29321,one
1,-1.6643,1.0661,-0.6598,0.32728,one
1,-2.0876,2.1147,-1.4364,0.51339,one
1,-2.1732,1.6397,-0.52255,0.10005,one
1,-2.6228,3.0314,-1.9356,0.59098,one
1,-1.8198,1.0317,-0.037294,-0.082508,one
1,-2.777,2.9049,-1.337,0.23335,one
1,-2.8721,3.0397,-1.3702,0.21219,one
1,-2.1198,1.4461,-0.31213,0.024461,one
1,-2.4879,2.4368,-1.2185,0.31444,one
1,-2.155,1.7552,-0.81613,0.27247,one
1,-1.8017,1.5363,-1.1313,0.53027,one
1,-1.9435,1.6282,-1.0244,0.45957,one
1,-1.9553,1.7118,-1.1571,0.52884,one
1,-2.8146,3.3027,-1.9726,0.52371,one
1,-2.0126,1.3524,-0.49653,0.17594,one
1,-2.0246,1.1597,-0.047016,-0.075857,one
1,-2.0487,1.685,-0.62099,0.12415,one
1,-2.2102,1.9549,-0.93447,0.27699,one
1,-2.2684,2.515,-1.7804,0.60296,one
1,-2.2841,2.1983,-1.3214,0.47484,one
1,-1.7171,0.53004,0.25102,-0.044066,one
1,-2.2085,1.7677,-0.68893,0.16746,one
1,-2.3781,2.2645,-1.166,0.31635,one
1,-2.1754,1.8827,-1.0161,0.35372,one
1,-2.5871,2.6416,-1.3583,0.32973,one
1,-1.6014,1.1235,-0.82315,0.49392,one
1,-1.4248,1.0233,-1.1184,0.74357,one
1,-1.8149,1.5593,-1.197,0.61891,one
1,-1.5179,1.0755,-1.067,0.68032,one
1,-1.7517,1.4548,-1.1528,0.6248,one
1,-1.4151,0.82807,-0.83635,0.60323,one
1,-2.3988,2.8768,-2.0342,0.62101,one
1,-1.8792,0.98999,-0.1202,0.067459,one
1,-2.4257,2.6722,-1.881,0.68377,one
1,-2.2036,2.4333,-1.6842,0.62789,one
1,-1.7756,1.9246,-1.541,0.73019,one
1,-2.268,2.242,-1.4994,0.57141,one
1,-2.7489,3.0942,-1.7678,0.46779,one
1,-1.9426,1.5141,-0.87021,0.38345,one
1,-1.34,-0.18242,0.60957,-0.014192,one
1,-1.1981,-0.36624,0.53389,0.10329,one
1,-1.5819,0.90891,-0.51046,0.20468,one
1,-2.2168,2.1063,-1.1151,0.35618,one
1,-2.4945,2.912,-2.1819,0.82068,one
1,-2.6936,2.4772,-0.74502,-0.030931,one
1,-2.2978,2.1666,-1.0142,0.22624,one
1,-0.66007,-0.28618,-0.43784,0.67609,one
1,-2.7018,2.7789,-1.3229,0.2636,one
1,-2.2086,2.3551,-1.7494,0.66342,one
1,-2.2682,2.6392,-1.9046,0.67372,one
1,-1.7502,1.0693,-0.67083,0.39593,one
1,-1.7948,1.1546,-0.70127,0.37507,one
1,-1.7973,1.1953,-0.69125,0.35367,one
1,-1.4854,0.59045,-0.20408,0.20411,one
1,-1.8589,1.0172,-0.049557,-0.060862,one
1,-2.3621,2.3736,-1.4661,0.49941,one
1,-2.4683,2.8395,-2.0504,0.76343,one
1,-2.8534,3.4693,-2.1744,0.62234,one
1,-2.8808,3.3517,-1.9154,0.47563,one
1,-2.6257,3.0893,-2.0601,0.68365,one
1,-2.8715,3.3806,-2.0002,0.53261,one
1,-2.6184,2.5182,-1.046,0.16107,one
1,-2.2468,2.3269,-1.5164,0.52718,one
1,-2.396,2.293,-1.2859,0.41078,one
1,-2.4729,2.3712,-1.178,0.30673,one
1,-2.6593,2.9648,-1.8313,0.55963,one
1,-2.5851,2.7231,-1.5828,0.47467,one
1,-2.2396,2.0762,-1.2824,0.48938,one
1,-0.76924,-0.53234,-0.10819,0.54246,one
1,-2.8076,3.0742,-1.6473,0.39258,one
1,-2.7318,2.8736,-1.4523,0.32303,one
1,-2.6705,2.7455,-1.3864,0.32278,one
1,-2.7592,2.9722,-1.5633,0.36022,one
1,-2.3357,1.9327,-0.75672,0.16941,one
1,-2.0583,1.1608,0.1153,-0.21047,one
1,-2.0576,1.2628,-0.051722,-0.1349,one
1,-3.1678,4.1761,-2.7417,0.75859,one
1,-3.1466,4.0851,-2.627,0.71365,one
1,-2.2911,1.8068,-0.44543,-0.035679,one
1,-2.6148,2.8822,-1.5973,0.38682,one
1,-2.5513,2.7091,-1.4193,0.31908,one
1,-2.2256,2.3491,-1.4745,0.44804,one
1,-2.0481,1.9264,-1.095,0.33367,one
1,-2.4162,2.27,-1.1206,0.30561,one
1,-2.2933,2.4736,-1.7252,0.61446,one
1,-2.4817,2.8086,-1.9936,0.71615,one
1,-2.4959,2.9167,-2.1582,0.79254,one
1,-2.4392,2.629,-1.7908,0.65077,one
1,-0.52297,0.068597,-0.32506,-0.12457,one
1,-2.5096,2.9686,-2.2344,0.83141,one
1,-2.4792,2.1564,-0.73072,0.07104,one
1,-2.068,1.4273,-0.39759,0.078022,one
1,-1.7543,1.0388,-0.53728,0.31446,one
1,-2.4805,3.0221,-2.3446,0.89378,one
1,-2.0259,1.6621,-1.0984,0.51249,one
1,-2.0004,1.8213,-1.4787,0.71739,one
1,-2.4883,2.7037,-1.6154,0.47561,one
1,-3.1681,4.0485,-2.5117,0.64316,one
1,-1.7258,1.5774,-1.3136,0.64571,one
1,-2.0939,2.0823,-1.4407,0.5516,one
1,-1.9472,1.6685,-1.0848,0.46088,one
1,-2.4454,2.3412,-1.1328,0.27237,one
1,-1.5371,0.71251,-0.51705,0.429,one
1,-2.4313,2.4612,-1.4358,0.43407,one
1,-2.5894,2.9371,-1.9218,0.61136,one
1,-2.225,2.4263,-1.9823,0.81339,one
1,-2.3102,2.5365,-1.9329,0.73926,one
1,-2.4791,2.7164,-1.7209,0.55987,one
1,-1.7872,1.3381,-1.0264,0.54454,one
1,-1.6548,0.91914,-0.46802,0.28086,one
1,-1.1416,0.21743,-0.029105,0.080407,one
1,-2.8679,3.6542,-2.5524,0.79871,one
1,-2.5857,2.5815,-1.2507,0.27262,one
1,-2.0599,1.7564,-0.98979,0.33603,one
1,-2.029,1.7614,-1.0727,0.38909,one
1,-2.0012,1.8001,-1.1801,0.42737,one
1,-2.1302,1.9847,-1.2205,0.40436,one
1,-2.0717,1.756,-0.96124,0.3304,one
1,-1.8614,1.6337,-1.0484,0.39626,one
1,-2.0732,2.1127,-1.406,0.48127,one
1,-2.3121,2.4601,-1.6107,0.55531,one
1,-1.0675,0.35333,-0.2584,0.36791,one
1,-3.2851,4.3616,-2.7667,0.71328,one
1,-2.2073,1.8566,-0.83297,0.2155,one
1,-1.7063,0.79986,-0.25657,0.18167,one
