1,2,3,4,5,6,7,8,9,10,y
1,-2.9718,4.2286,-4.1076,3.0791,-2.0486,1.424,-0.84517,0.35595,-0.0914,one
1,-2.2989,3.6711,-4.555,4.4542,-3.8975,2.918,-1.6333,0.72457,-0.13888,one
1,-2.0706,1.2823,-0.38129,0.77404,-1.0606,0.81455,-0.58531,0.34897,-0.10093,one
1,-3.7742,6.7267,-8.1444,7.8594,-6.1476,3.9935,-2.3034,1.0111,-0.20732,one
1,-3.3913,5.1017,-4.9292,4.2384,-4.1842,4.4139,-3.6802,1.8177,-0.36631,one
1,-3.0821,4.4405,-4.4764,4.1437,-3.7941,3.0922,-1.7577,0.44483,0.023994,one
1,-3.3451,5.5733,-6.958,7.5191,-7.0178,5.7692,-3.9096,1.7134,-0.31993,one
1,-3.6,6.3723,-8.0169,8.1221,-6.5697,4.3918,-2.5106,0.9987,-0.16499,one
1,-2.5787,2.8841,-2.2463,1.7025,-1.3952,1.0149,-0.4877,0.26205,-0.1286,one
1,-2.754,3.2474,-2.2462,1.0919,-0.95359,1.4816,-1.4074,0.79485,-0.23154,one
1,-2.4068,1.8573,-0.21737,-0.47848,-0.029832,1.1053,-1.1459,0.25057,0.088931,one
1,-2.6597,2.3167,-0.28506,-0.68253,-0.2034,1.7442,-1.9277,0.75703,-0.042465,one
1,-2.3686,1.9309,-0.68557,0.097631,-0.15696,0.97454,-1.3366,0.67047,-0.10492,one
1,-2.1453,1.2113,0.033499,-0.064117,-0.18701,0.77846,-1.0017,0.40553,-0.011459,one
1,-2.365,1.769,-0.37944,0.078493,-0.61087,1.4021,-1.2219,0.27191,0.0727,one
1,-2.2895,2.1014,-1.4916,1.2273,-0.65264,0.15647,0.077634,-0.18623,0.094814,one
1,-3.0066,4.6216,-5.6363,5.8041,-4.7254,3.2257,-1.6973,0.44744,-0.003,one
1,-4.3649,9.9744,-15.8162,18.9028,-17.4158,12.429,-6.664,2.4175,-0.44528,one
1,-3.0787,4.768,-5.1929,4.2748,-2.6837,1.4621,-0.64961,0.090591,0.048714,one
1,-1.8745,1.1471,-0.57318,0.74069,-0.77231,0.76378,-0.56432,0.25465,-0.066457,one
1,-1.6256,1.2335,-1.2484,0.864,-0.77938,1.3495,-1.0115,0.643,-0.37351,one
1,-1.3505,-0.081504,0.039431,0.68272,0.080561,-0.51075,0.0035472,0.38134,-0.22341,one
1,-2.0594,2.1225,-1.9373,1.1781,-0.96378,1.6561,-1.6333,1.173,-0.51277,one
