mlp, rfc, best, best_score
0.803660565724,0.780366056572,mlp,0.803660565724
0.00833055648117,0.126291236255,rfc,0.126291236255
0.112629123625,0.0749750083306,mlp,0.112629123625
0.121626124625,0.0646451182939,mlp,0.121626124625
0.0163278907031,0.122292569144,rfc,0.122292569144
0.0249916694435,0.125624791736,rfc,0.125624791736
0.0519826724425,0.138953682106,rfc,0.138953682106
0.0576474508497,0.104965011663,rfc,0.104965011663
0.0813062312562,0.104631789404,rfc,0.104631789404
0.106631122959,0.0923025658114,mlp,0.106631122959
0.105298233922,0.0876374541819,mlp,0.105298233922
0.122959013662,0.0883038987004,mlp,0.122959013662
0.123625458181,0.0856381206265,mlp,0.123625458181
0.139953348884,0.0793068977008,mlp,0.139953348884
